CLIENTNUM,Attrition_Flag,observed_churn,churn_probability,predicted_churn,is_high_risk,risk_band,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,age_band,tenure_band,inactivity_band,Customer_Age,Dependent_count,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Total_Relationship_Count,decision_threshold_used,model_name
715645908,Attrited Customer,1,0.9999840628992545,1,True,High,M,High School,Single,$80K - $120K,Gold,50-64,25-48 mo,2-3 mo,59,0,48,2,6,34516.0,0,34516.0,8480,71,0.969,0.821,0.0,5,0.5,lightgbm
779183958,Attrited Customer,1,0.9999823852018511,1,True,High,F,Graduate,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,45,2,33,3,4,1492.0,0,1492.0,2469,38,0.502,0.267,0.0,1,0.5,lightgbm
709566408,Attrited Customer,1,0.9999812031631056,1,True,High,F,Graduate,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,40,2,30,3,6,4458.0,0,4458.0,9640,70,0.935,0.707,0.0,5,0.5,lightgbm
752604633,Attrited Customer,1,0.9999758754713717,1,True,High,M,College,Married,$40K - $60K,Blue,50-64,49-72 mo,4-6 mo,57,2,50,5,3,6462.0,0,6462.0,761,17,0.856,0.214,0.0,2,0.5,lightgbm
718653333,Attrited Customer,1,0.9999729254519432,1,True,High,F,College,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,45,2,33,3,3,1833.0,0,1833.0,2037,31,0.549,0.292,0.0,1,0.5,lightgbm
719418933,Attrited Customer,1,0.9999721244249808,1,True,High,M,Uneducated,Married,$80K - $120K,Blue,50-64,25-48 mo,2-3 mo,53,2,36,3,3,4503.0,0,4503.0,748,20,0.659,0.429,0.0,1,0.5,lightgbm
772073508,Attrited Customer,1,0.9999718289835038,1,True,High,F,College,Single,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,52,1,41,3,6,1764.0,0,1764.0,2740,47,0.824,0.343,0.0,5,0.5,lightgbm
719770158,Attrited Customer,1,0.9999718232842097,1,True,High,F,Post-Graduate,Single,Less than $40K,Blue,50-64,49-72 mo,4-6 mo,54,3,49,4,3,8516.0,0,8516.0,2189,37,0.549,0.276,0.0,1,0.5,lightgbm
714374133,Attrited Customer,1,0.9999716927769388,1,True,High,M,Graduate,Married,$120K +,Blue,50-64,25-48 mo,2-3 mo,56,2,36,3,3,15769.0,0,15769.0,602,15,1.041,0.364,0.0,1,0.5,lightgbm
720190083,Attrited Customer,1,0.9999715995608849,1,True,High,F,Unknown,Single,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,56,3,39,3,4,1632.0,0,1632.0,2509,47,0.621,0.424,0.0,1,0.5,lightgbm
712030833,Attrited Customer,1,0.9999699760711709,1,True,High,M,Graduate,Married,$60K - $80K,Silver,35-49,25-48 mo,4-6 mo,48,2,35,4,4,34516.0,0,34516.0,691,15,0.763,0.5,0.0,2,0.5,lightgbm
809626983,Attrited Customer,1,0.9999697325063353,1,True,High,F,High School,Married,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,48,3,43,3,3,1670.0,0,1670.0,2790,37,0.707,0.321,0.0,3,0.5,lightgbm
720605808,Attrited Customer,1,0.9999693351354585,1,True,High,F,Graduate,Single,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,53,1,36,2,3,1438.3,0,1438.3,799,17,0.672,0.214,0.0,2,0.5,lightgbm
708692583,Attrited Customer,1,0.9999688373203296,1,True,High,F,High School,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,44,2,31,3,3,1506.0,168,1338.0,2312,44,0.671,0.467,0.112,3,0.5,lightgbm
721417233,Attrited Customer,1,0.9999678031718778,1,True,High,M,Graduate,Married,$60K - $80K,Blue,35-49,25-48 mo,4-6 mo,45,2,25,5,3,1438.3,0,1438.3,709,27,0.676,0.421,0.0,3,0.5,lightgbm
